ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
mm1924	chr7:42100264-42104550	GLI3(intragenic)	chr7:42060665-42064951	chr13:15718380-15724077	Gli3(intragenic)	chr13:15626547-15632244
mm1980	chr7:42104096-42108079	GLI3(intragenic)	chr7:42064497-42068480	chr13:15713703-15718782	Gli3(intragenic)	chr13:15621870-15626949
mm1826	chr7:42105132-42106476	GLI3(intragenic)	chr7:42065533-42066877	chr13:15716002-15717413	Gli3(intragenic)	chr13:15624169-15625580
mm1923	chr7:42107331-42112673	GLI3(intragenic)	chr7:42067732-42073074	chr13:15709155-15714538	Gli3(intragenic)	chr13:15617322-15622705
mm1922	chr7:42111226-42116795	GLI3(intragenic)	chr7:42071627-42077196	chr13:15705489-15710589	Gli3(intragenic)	chr13:15613656-15618756
mm1979	chr7:42116187-42122287	GLI3(intragenic)	chr7:42076588-42082688	chr13:15701267-15705881	Gli3(intragenic)	chr13:15609434-15614048
mm1921	chr7:42121104-42124987	GLI3(intragenic)	chr7:42081505-42085388	chr13:15697760-15702348	Gli3(intragenic)	chr13:15605927-15610515
mm2022	chr7:42124245-42132316	GLI3(intragenic)	chr7:42084646-42092717	chr13:15693927-15698742	Gli3(intragenic)	chr13:15602094-15606909
mm1920	chr7:42131773-42135702	GLI3(intragenic)	chr7:42092174-42096103	chr13:15689297-15694497	Gli3(intragenic)	chr13:15597464-15602664
mm2021	chr7:42142970-42147724	GLI3(intragenic)	chr7:42103371-42108125	chr13:15680399-15685636	Gli3(intragenic)	chr13:15588566-15593803
mm1918	chr7:42147011-42151129	GLI3(intragenic)	chr7:42107412-42111530	chr13:15676239-15681038	Gli3(intragenic)	chr13:15584406-15589205
mm1978	chr7:42150812-42157738	GLI3(intragenic)	chr7:42111213-42118139	chr13:15671935-15676645	Gli3(intragenic)	chr13:15580102-15584812
mm1917	chr7:42157295-42161957	GLI3(intragenic)	chr7:42117696-42122358	chr13:15667180-15672595	Gli3(intragenic)	chr13:15575347-15580762
mm1916	chr7:42161543-42165577	GLI3(intragenic)	chr7:42121944-42125978	chr13:15662682-15667533	Gli3(intragenic)	chr13:15570849-15575700
mm1915	chr7:42164649-42168248	GLI3(intragenic)	chr7:42125050-42128649	chr13:15658339-15663613	Gli3(intragenic)	chr13:15566506-15571780
mm1914	chr7:42168208-42172879	GLI3(intragenic)	chr7:42128609-42133280	chr13:15654444-15659076	Gli3(intragenic)	chr13:15562611-15567243
mm1913	chr7:42172727-42177136	GLI3(intragenic)	chr7:42133128-42137537	chr13:15649876-15654672	Gli3(intragenic)	chr13:15558043-15562839
mm1440	chr7:42174171-42176101	GLI3(intragenic)	chr7:42134572-42136502	chr13:15650939-15652677	Gli3(intragenic)	chr13:15559106-15560844
mm1912	chr7:42176397-42182280	GLI3(intragenic)	chr7:42136798-42142681	chr13:15645589-15650450	Gli3(intragenic)	chr13:15553756-15558617
mm1977	chr7:42182258-42187539	GLI3(intragenic)	chr7:42142659-42147940	chr13:15640779-15645610	Gli3(intragenic)	chr13:15548946-15553777
mm1825	chr7:42182504-42184554	GLI3(intragenic)	chr7:42142905-42144955	chr13:15643546-15645536	Gli3(intragenic)	chr13:15551713-15553703
hs1586	chr7:42185602-42187508	GLI3(intragenic)	chr7:42146003-42147909	chr13:15640807-15642666	Gli3(intragenic)	chr13:15548974-15550833
mm2020	chr7:42187516-42191283	GLI3(intragenic)	chr7:42147917-42151684	chr13:15637220-15640800	Gli3(intragenic)	chr13:15545387-15548967
mm2019	chr7:42190786-42196502	GLI3(intragenic)	chr7:42151187-42156903	chr13:15631047-15637701	Gli3(intragenic)	chr13:15539214-15545868
hs111	chr7:42191728-42193638	GLI3(intragenic)	chr7:42152129-42154039	chr13:15634863-15636840	Gli3(intragenic)	chr13:15543030-15545007
mm1911	chr7:42196503-42198869	GLI3(intragenic)	chr7:42156904-42159270	chr13:15627254-15631926	Gli3(intragenic)	chr13:15535421-15540093
mm1976	chr7:42198764-42203567	GLI3(intragenic)	chr7:42159165-42163968	chr13:15622676-15627639	Gli3(intragenic)	chr13:15530843-15535806
mm1909	chr7:42203403-42207173	GLI3(intragenic)	chr7:42163804-42167574	chr13:15618591-15623241	Gli3(intragenic)	chr13:15526758-15531408
mm1910	chr7:42207027-42212640	GLI3(intragenic)	chr7:42167428-42173041	chr13:15614157-15618721	Gli3(intragenic)	chr13:15522324-15526888
mm1908	chr7:42212076-42217028	GLI3(intragenic)	chr7:42172477-42177429	chr13:15610282-15614935	Gli3(intragenic)	chr13:15518449-15523102
mm1907	chr7:42220866-42226995	GLI3(intragenic)	chr7:42181267-42187396	chr13:15601775-15606229	Gli3(intragenic)	chr13:15509942-15514396
mm1975	chr7:42226225-42232384	GLI3(intragenic)	chr7:42186626-42192785	chr13:15597138-15602150	Gli3(intragenic)	chr13:15505305-15510317
mm1906	chr7:42231719-42236786	GLI3(intragenic)	chr7:42192120-42197187	chr13:15592900-15597695	Gli3(intragenic)	chr13:15501067-15505862
mm1905	chr7:42236498-42239898	GLI3(intragenic)	chr7:42196899-42200299	chr13:15588428-15593153	Gli3(intragenic)	chr13:15496595-15501320
mm1904	chr7:42239829-42247108	GLI3(intragenic)	chr7:42200230-42207509	chr13:15584452-15588689	Gli3(intragenic)	chr13:15492619-15496856
mm1903	chr7:42246770-42252277	GLI3(intragenic)	chr7:42207171-42212678	chr13:15579556-15584732	Gli3(intragenic)	chr13:15487723-15492899
mm1902	chr7:42251988-42256756	GLI3(intragenic)	chr7:42212389-42217157	chr13:15575056-15579833	Gli3(intragenic)	chr13:15483223-15488000
hs1213	chr7:42252831-42254560	GLI3(intragenic)	chr7:42213232-42214961	chr13:15577283-15579001	Gli3(intragenic)	chr13:15485450-15487168
mm1901	chr7:42256662-42262026	GLI3(intragenic)	chr7:42217063-42222427	chr13:15570613-15575143	Gli3(intragenic)	chr13:15478780-15483310
mm1900	chr7:42261467-42266421	GLI3(intragenic)	chr7:42221868-42226822	chr13:15566311-15570907	Gli3(intragenic)	chr13:15474478-15479074
mm2018	chr7:42265582-42270713	GLI3(intragenic)	chr7:42225983-42231114	chr13:15561790-15567045	Gli3(intragenic)	chr13:15469957-15475212
mm1962	chr7:42280742-42283951	GLI3-LOC101928795	chr7:42241143-42244352	chr13:15545495-15551212	AW209491-Gli3	chr13:15453662-15459379
mm1974	chr7:42283825-42288821	GLI3-LOC101928795	chr7:42244226-42249222	chr13:15539239-15546744	AW209491-Gli3	chr13:15447406-15454911
mm1963	chr7:42288733-42304849	GLI3-LOC101928795	chr7:42249134-42265250	chr13:15532865-15539602	AW209491-Gli3	chr13:15441032-15447769
mm1180	chr7:42289924-42292362	GLI3-LOC101928795	chr7:42250325-42252763	chr13:15537265-15538555	AW209491-Gli3	chr13:15445432-15446722
mm2017	chr7:42304604-42306891	GLI3-LOC101928795	chr7:42265005-42267292	chr13:15528173-15533102	AW209491-Gli3	chr13:15436340-15441269
mm1897	chr7:42307318-42312581	GLI3-LOC101928795	chr7:42267719-42272982	chr13:15514558-15519511	AW209491-Gli3	chr13:15422725-15427678
mm1411	chr7:42307328-42310513	GLI3-LOC101928795	chr7:42267729-42270914	chr13:15517849-15519450	AW209491-Gli3	chr13:15426016-15427617
mm1896	chr7:42312072-42316590	GLI3-LOC101928795	chr7:42272473-42276991	chr13:15509934-15515054	AW209491-Gli3	chr13:15418101-15423221
mm1895	chr7:42316005-42321749	GLI3-LOC101928795	chr7:42276406-42282150	chr13:15505384-15510451	AW209491-Gli3	chr13:15413551-15418618
mm1973	chr7:42321646-42324333	GLI3-LOC101928795	chr7:42282047-42284734	chr13:15500437-15505580	AW209491-Gli3	chr13:15408604-15413747
mm1894	chr7:42324104-42325092	GLI3-LOC101928795	chr7:42284505-42285493	chr13:15496395-15501431	AW209491-Gli3	chr13:15404562-15409598
mm1972	chr7:42325093-42325110	GLI3-LOC101928795	chr7:42285494-42285511	chr13:15491206-15496644	AW209491-Gli3	chr13:15399373-15404811
mm2016	chr7:42325104-42325520	GLI3-LOC101928795	chr7:42285505-42285921	chr13:15487129-15492398	AW209491-Gli3	chr13:15395296-15400565
mm1893	chr7:42325469-42331566	GLI3-LOC101928795	chr7:42285870-42291967	chr13:15483014-15487719	AW209491-Gli3	chr13:15391181-15395886
mm2015	chr7:42331191-42335679	GLI3-LOC101928795	chr7:42291592-42296080	chr13:15478590-15483335	AW209491-Gli3	chr13:15386757-15391502
mm1892	chr7:42332371-42332517	GLI3-LOC101928795	chr7:42292772-42292918	chr13:15469819-15474714	AW209491-Gli3	chr13:15377986-15382881
mm1891	chr7:42352238-42354133	GLI3-LOC101928795	chr7:42312639-42314534	chr13:15460395-15465365	AW209491-Gli3	chr13:15368562-15373532
mm2014	chr7:42353925-42359340	GLI3-LOC101928795	chr7:42314326-42319741	chr13:15455469-15460729	AW209491-Gli3	chr13:15363636-15368896
mm1890	chr7:42359331-42366019	GLI3-LOC101928795	chr7:42319732-42326420	chr13:15450756-15456278	AW209491-Gli3	chr13:15358923-15364445
mm1889	chr7:42365648-42369277	GLI3-LOC101928795	chr7:42326049-42329678	chr13:15446548-15451946	AW209491-Gli3	chr13:15354715-15360113
mm1888	chr7:42367566-42369313	GLI3-LOC101928795	chr7:42327967-42329714	chr13:15443690-15448235	AW209491-Gli3	chr13:15351857-15356402
mm2013	chr7:42369314-42378370	GLI3-LOC101928795	chr7:42329715-42338771	chr13:15438955-15444214	AW209491-Gli3	chr13:15347122-15352381
mm1681	chr7:42377643-42381156	GLI3-LOC101928795	chr7:42338044-42341557	chr13:15436322-15439866	AW209491-Gli3	chr13:15344489-15348033
mm1887	chr7:42378131-42383906	GLI3-LOC101928795	chr7:42338532-42344307	chr13:15433885-15439151	AW209491-Gli3	chr13:15342052-15347318
mm1179	chr7:42381569-42383456	GLI3-LOC101928795	chr7:42341970-42343857	chr13:15434540-15436055	AW209491-Gli3	chr13:15342707-15344222
mm1886	chr7:42383819-42385868	GLI3-LOC101928795	chr7:42344220-42346269	chr13:15430073-15434096	AW209491-Gli3	chr13:15338240-15342263
mm2170	chr7:42385869-42386479	GLI3-LOC101928795	chr7:42346270-42346880	chr13:15425076-15430508	AW209491-Gli3	chr13:15333243-15338675
mm1885	chr7:42385903-42390004	GLI3-LOC101928795	chr7:42346304-42350405	chr13:15420505-15425699	AW209491-Gli3	chr13:15328672-15333866
mm1884	chr7:42389981-42392845	GLI3-LOC101928795	chr7:42350382-42353246	chr13:15415962-15421022	AW209491-Gli3	chr13:15324129-15329189
mm1883	chr7:42391977-42393942	GLI3-LOC101928795	chr7:42352378-42354343	chr13:15411247-15416437	AW209491-Gli3	chr13:15319414-15324604
mm1881	chr7:42394950-42428394	GLI3-LOC101928795	chr7:42355351-42388795	chr13:15398508-15403010	AW209491-Gli3	chr13:15306675-15311177
mm1880	chr7:42427896-42431540	GLI3-LOC101928795	chr7:42388297-42391941	chr13:15394337-15398975	AW209491-Gli3	chr13:15302504-15307142
mm1970	chr7:42431154-42436819	GLI3-LOC101928795	chr7:42391555-42397220	chr13:15389275-15394703	AW209491-Gli3	chr13:15297442-15302870
hs1132	chr7:42432266-42433365	GLI3-LOC101928795	chr7:42392667-42393766	chr13:15392886-15393968	AW209491-Gli3	chr13:15301053-15302135
mm2089	chr7:42435968-42438907	GLI3-LOC101928795	chr7:42396369-42399308	chr13:15384707-15389855	AW209491-Gli3	chr13:15292874-15298022
mm1879	chr7:42440374-42440423	GLI3-LOC101928795	chr7:42400775-42400824	chr13:15369876-15375085	AW209491-Gli3	chr13:15278043-15283252
mm1878	chr7:42440406-42442565	GLI3-LOC101928795	chr7:42400807-42402966	chr13:15365514-15370996	AW209491-Gli3	chr13:15273681-15279163
mm2088	chr7:42443058-42446365	GLI3-LOC101928795	chr7:42403459-42406766	chr13:15356428-15361527	AW209491-Gli3	chr13:15264595-15269694
mm1877	chr7:42446347-42450717	GLI3-LOC101928795	chr7:42406748-42411118	chr13:15351973-15356744	AW209491-Gli3	chr13:15260152-15264911
mm2087	chr7:42454792-42456219	GLI3-LOC101928795	chr7:42415193-42416620	chr13:15335858-15340594	AW209491-Gli3	chr13:15243588-15248324
mm1876	chr7:42455256-42456461	GLI3-LOC101928795	chr7:42415657-42416862	chr13:15331397-15336531	AW209491-Gli3	chr13:15239127-15244261
mm2191	chr7:42456451-42465156	GLI3-LOC101928795	chr7:42416852-42425557	chr13:15326333-15331630	AW209491-Gli3	chr13:15234063-15239360
mm1875	chr7:42463763-42470161	GLI3-LOC101928795	chr7:42424164-42430562	chr13:15321876-15326908	AW209491-Gli3	chr13:15229606-15234638
mm1874	chr7:42469653-42471682	GLI3-LOC101928795	chr7:42430054-42432083	chr13:15316726-15322305	AW209491-Gli3	chr13:15224459-15230035
mm1873	chr7:42471683-42489355	GLI3-LOC101928795	chr7:42432084-42449756	chr13:15312159-15317192	AW209491-Gli3	chr13:15219892-15224925
mm1872	chr7:42490704-42495253	GLI3-LOC101928795	chr7:42451105-42455654	chr13:15303000-15308002	AW209491-Gli3	chr13:15210733-15215735
mm1409	chr7:42492180-42494956	GLI3-LOC101928795	chr7:42452581-42455357	chr13:15303835-15306508	AW209491-Gli3	chr13:15211568-15214241
mm1969	chr7:42495045-42499373	GLI3-LOC101928795	chr7:42455446-42459774	chr13:15299162-15303405	AW209491-Gli3	chr13:15206895-15211138
mm1871	chr7:42499094-42501468	GLI3-LOC101928795	chr7:42459495-42461869	chr13:15294257-15299632	AW209491-Gli3	chr13:15201990-15207365
mm1870	chr7:42501435-42502521	GLI3-LOC101928795	chr7:42461836-42462922	chr13:15289572-15294499	AW209491-Gli3	chr13:15197305-15202232
mm1869	chr7:42502502-42511153	GLI3-LOC101928795	chr7:42462903-42471554	chr13:15284697-15289950	AW209491-Gli3	chr13:15192430-15197683
mm2086	chr7:42509729-42512752	GLI3-LOC101928795	chr7:42470130-42473153	chr13:15279861-15284964	AW209491-Gli3	chr13:15187594-15192697
mm2085	chr7:42512658-42515579	GLI3-LOC101928795	chr7:42473059-42475980	chr13:15275179-15280366	AW209491-Gli3	chr13:15182912-15188099
mm2084	chr7:42514615-42521208	GLI3-LOC101928795	chr7:42475016-42481609	chr13:15270210-15275846	AW209491-Gli3	chr13:15177943-15183579
mm2083	chr7:42520919-42521541	GLI3-LOC101928795	chr7:42481320-42481942	chr13:15265236-15270469	AW209491-Gli3	chr13:15172969-15178202
mm1868	chr7:42521542-42526910	GLI3-LOC101928795	chr7:42481943-42487311	chr13:15260131-15265825	AW209491-Gli3	chr13:15167864-15173558
mm2168	chr7:42526571-42530420	GLI3-LOC101928795	chr7:42486972-42490821	chr13:15255026-15260562	AW209491-Gli3	chr13:15162759-15168295
mm1866	chr7:42530338-42532261	GLI3-LOC101928795	chr7:42490739-42492662	chr13:15250271-15255605	AW209491-Gli3	chr13:15158004-15163338
mm1968	chr7:42531528-42536598	GLI3-LOC101928795	chr7:42491929-42496999	chr13:15245953-15250994	AW209491-Gli3	chr13:15153686-15158727
hs2079	chr7:42532168-42534364	GLI3-LOC101928795	chr7:42492569-42494765	chr13:15247212-15250395	AW209491-Gli3	chr13:15154945-15158128
mm1865	chr7:42536207-42537670	GLI3-LOC101928795	chr7:42496608-42498071	chr13:15240889-15246348	AW209491-Gli3	chr13:15148622-15154081
mm2167	chr7:42537549-42538707	GLI3-LOC101928795	chr7:42497950-42499108	chr13:15235781-15241282	AW209491-Gli3	chr13:15143514-15149015
mm2165	chr7:42538935-42540431	GLI3-LOC101928795	chr7:42499336-42500832	chr13:15226176-15232155	AW209491-Gli3	chr13:15133909-15139888
mm1864	chr7:42553785-42556460	GLI3-LOC101928795	chr7:42514186-42516861	chr13:15217449-15222159	AW209491-Gli3	chr13:15125182-15129892
mm2082	chr7:42556458-42556620	GLI3-LOC101928795	chr7:42516859-42517021	chr13:15212904-15218148	AW209491-Gli3	chr13:15120637-15125881
mm1967	chr7:42556590-42558792	GLI3-LOC101928795	chr7:42516991-42519193	chr13:15207680-15213289	AW209491-Gli3	chr13:15115413-15121022
mm1863	chr7:42558793-42559851	GLI3-LOC101928795	chr7:42519194-42520252	chr13:15202610-15208247	AW209491-Gli3	chr13:15110343-15115980
mm1862	chr7:42559686-42564858	GLI3-LOC101928795	chr7:42520087-42525259	chr13:15197622-15202926	AW209491-Gli3	chr13:15105355-15110659
mm1966	chr7:42567187-42571786	GLI3-LOC101928795	chr7:42527588-42532187	chr13:15188525-15193540	AW209491-Gli3	chr13:15096258-15101273
mm1860	chr7:42574706-42608329	GLI3-LOC101928795	chr7:42535107-42568730	chr13:15179734-15184526	AW209491-Gli3	chr13:15087467-15092259
mm2081	chr7:42607553-42613572	GLI3-LOC101928795	chr7:42567954-42573973	chr13:15175122-15180116	AW209491-Gli3	chr13:15082855-15087849
mm1859	chr7:42612385-42617707	GLI3-LOC101928795	chr7:42572786-42578108	chr13:15171261-15176448	AW209491-Gli3	chr13:15078994-15084181
mm1858	chr7:42619786-42620854	GLI3-LOC101928795	chr7:42580187-42581255	chr13:15162920-15167629	AW209491-Gli3	chr13:15070653-15075362
mm1857	chr7:42624411-42628698	GLI3-LOC101928795	chr7:42584812-42589099	chr13:15153846-15158519	AW209491-Gli3	chr13:15061579-15066252
mm2189	chr7:42628531-42639450	GLI3-LOC101928795	chr7:42588932-42599851	chr13:15149179-15154258	AW209491-Gli3	chr13:15056912-15061991
mm1855	chr7:42645616-42649667	GLI3-LOC101928795	chr7:42606017-42610068	chr13:15139882-15144637	AW209491-Gli3	chr13:15047615-15052370
mm1943	chr7:42649011-42649882	GLI3-LOC101928795	chr7:42609412-42610283	chr13:15135762-15140536	AW209491-Gli3	chr13:15043495-15048269
mm1942	chr7:42649883-42649912	GLI3-LOC101928795	chr7:42610284-42610313	chr13:15131112-15136017	AW209491-Gli3	chr13:15038845-15043750
mm1982	chr7:42649913-42650010	GLI3-LOC101928795	chr7:42610314-42610411	chr13:15127042-15131767	AW209491-Gli3	chr13:15034775-15039500
mm1945	chr7:42651365-42652708	GLI3-LOC101928795	chr7:42611766-42613109	chr13:15118563-15123322	AW209491-Gli3	chr13:15026296-15031055
mm1944	chr7:42652361-42655556	GLI3-LOC101928795	chr7:42612762-42615957	chr13:15114101-15118794	AW209491-Gli3	chr13:15021834-15026527
mm2036	chr7:42654928-42659639	GLI3-LOC101928795	chr7:42615329-42620040	chr13:15109656-15114527	AW209491-Gli3	chr13:15017389-15022260
mm1946	chr7:42659640-42660304	GLI3-LOC101928795	chr7:42620041-42620705	chr13:15105051-15109955	AW209491-Gli3	chr13:15012784-15017688
mm1947	chr7:42659722-42663721	GLI3-LOC101928795	chr7:42620123-42624122	chr13:15100987-15105889	AW209491-Gli3	chr13:15008720-15013622
mm2037	chr7:42663169-42666093	GLI3-LOC101928795	chr7:42623570-42626494	chr13:15096783-15101504	AW209491-Gli3	chr13:15004516-15009237
mm1949	chr7:42666094-42669649	GLI3-LOC101928795	chr7:42626495-42630050	chr13:15092138-15097209	AW209491-Gli3	chr13:14999871-15004942
mm1948	chr7:42669455-42670553	GLI3-LOC101928795	chr7:42629856-42630954	chr13:15088377-15092591	AW209491-Gli3	chr13:14996110-15000324
mm1950	chr7:42670548-42670893	GLI3-LOC101928795	chr7:42630949-42631294	chr13:15083952-15088697	AW209491-Gli3	chr13:14991685-14996430
mm1983	chr7:42670894-42671167	GLI3-LOC101928795	chr7:42631295-42631568	chr13:15079312-15084029	AW209491-Gli3	chr13:14987045-14991762
mm1952	chr7:42671112-42671415	GLI3-LOC101928795	chr7:42631513-42631816	chr13:15075347-15080236	AW209491-Gli3	chr13:14983080-14987969
mm1951	chr7:42671409-42684528	GLI3-LOC101928795	chr7:42631810-42644929	chr13:15071617-15075958	AW209491-Gli3	chr13:14979350-14983691
mm2038	chr7:42684281-42685128	GLI3-LOC101928795	chr7:42644682-42645529	chr13:15066908-15071850	AW209491-Gli3	chr13:14974641-14979583
mm1953	chr7:42685129-42687149	GLI3-LOC101928795	chr7:42645530-42647550	chr13:15061958-15067091	AW209491-Gli3	chr13:14969691-14974824
mm1955	chr7:42686360-42690860	GLI3-LOC101928795	chr7:42646761-42651261	chr13:15057864-15062616	AW209491-Gli3	chr13:14965597-14970349
mm1954	chr7:42690584-42692014	GLI3-LOC101928795	chr7:42650985-42652415	chr13:15053336-15058112	AW209491-Gli3	chr13:14961069-14965845
mm1957	chr7:42691930-42692146	GLI3-LOC101928795	chr7:42652331-42652547	chr13:15049095-15054050	AW209491-Gli3	chr13:14956828-14961783
mm1956	chr7:42692147-42693248	GLI3-LOC101928795	chr7:42652548-42653649	chr13:15044536-15049365	AW209491-Gli3	chr13:14952269-14957098
mm1958	chr7:42693606-42704876	GLI3-C7orf25	chr7:42654007-42665277	chr13:15036120-15041035	AW209491-Gli3	chr13:14943853-14948768
mm1985	chr7:42703264-42709161	LOC101928795(intragenic)	chr7:42663665-42669562	chr13:15031300-15036337	AW209491-Gli3	chr13:14939033-14944070
mm2217	chr7:42708933-42712228	LOC101928795(intragenic)	chr7:42669334-42672629	chr13:15026434-15031664	AW209491-Gli3	chr13:14934167-14939397
mm1959	chr7:42712070-42719112	LOC101928795(intragenic)	chr7:42672471-42679513	chr13:15021665-15026746	AW209491-Gli3	chr13:14929398-14934479
mm1961	chr7:42723116-42725823	LOC101928795(intragenic)	chr7:42683517-42686224	chr13:15007349-15012349	AW209491-Gli3	chr13:14915082-14920082
mm2040	chr7:42724958-42727043	LOC101928795(intragenic)	chr7:42685359-42687444	chr13:15002952-15007969	AW209491-Gli3	chr13:14910685-14915702
mm2041	chr7:42727044-42727061	LOC101928795(intragenic)	chr7:42687445-42687462	chr13:14997561-15003197	AW209491-Gli3	chr13:14905294-14910930
mm2043	chr7:42730267-42731301	LOC101928795(intragenic)	chr7:42690668-42691702	chr13:14983084-14988568	AW209491-Gli3	chr13:14890817-14896301
mm2044	chr7:42732198-42732287	LOC101928795(intragenic)	chr7:42692599-42692688	chr13:14973023-14978262	AW209491-Gli3	chr13:14880756-14885995
mm2045	chr7:42732288-42733200	LOC101928795(intragenic)	chr7:42692689-42693601	chr13:14968216-14973384	AW209491-Gli3	chr13:14875949-14881117
mm2046	chr7:42733201-42733235	LOC101928795(intragenic)	chr7:42693602-42693636	chr13:14963367-14968397	AW209491-Gli3	chr13:14871100-14876130
mm2047	chr7:42733236-42736198	LOC101928795(intragenic)	chr7:42693637-42696599	chr13:14958352-14963737	AW209491-Gli3	chr13:14866085-14871470
mm2048	chr7:42736313-42736350	LOC101928795(intragenic)	chr7:42696714-42696751	chr13:14948385-14953394	AW209491-Gli3	chr13:14856118-14861127
mm2049	chr7:42736350-42736351	LOC101928795(intragenic)	chr7:42696751-42696752	chr13:14943648-14948722	AW209491-Gli3	chr13:14851381-14856455
mm2050	chr7:42736351-42736431	LOC101928795(intragenic)	chr7:42696752-42696832	chr13:14938909-14943983	AW209491-Gli3	chr13:14846642-14851716
mm2051	chr7:42736432-42738147	LOC101928795(intragenic)	chr7:42696833-42698548	chr13:14933670-14939129	AW209491-Gli3	chr13:14841403-14846862
mm2052	chr7:42738148-42740703	LOC101928795(intragenic)	chr7:42698549-42701104	chr13:14928837-14934111	AW209491-Gli3	chr13:14836570-14841844
